Account,Line Item,Scenario,Year,Month,Amount,MonthNumber,MonthStartDate,MonthEndDate,Quarter
7001,  Interest Income,Actual,2020,Jun,2943.98,6,6/1/2020,6/30/2020,Q2
7002,  Interest Expense,Actual,2020,Jun,-3236.91,6,6/1/2020,6/30/2020,Q2
4001,  Core,Actual,2020,Jul,1748126.6,7,7/1/2020,7/31/2020,Q3
4002,  Pro,Actual,2020,Jul,1390132,7,7/1/2020,7/31/2020,Q3
4010,  Services,Actual,2020,Jul,803199.11,7,7/1/2020,7/31/2020,Q3
5001,  Materials,Actual,2020,Jul,-1035802.75,7,7/1/2020,7/31/2020,Q3
5002,  Direct Labor,Actual,2020,Jul,-464800,7,7/1/2020,7/31/2020,Q3
5003,  Freight & Logistics,Actual,2020,Jul,-167181.4,7,7/1/2020,7/31/2020,Q3
6001,  Salaries & Wages,Actual,2020,Jul,-812324.79,7,7/1/2020,7/31/2020,Q3
6002,  Payroll Taxes,Actual,2020,Jul,-113725.47,7,7/1/2020,7/31/2020,Q3
6003,  Rent,Actual,2020,Jul,-53824.75,7,7/1/2020,7/31/2020,Q3
6004,  Marketing,Actual,2020,Jul,-224321,7,7/1/2020,7/31/2020,Q3
6005,  Software & Subscriptions,Actual,2020,Jul,-26958.98,7,7/1/2020,7/31/2020,Q3
6006,  Travel,Actual,2020,Jul,-41548.52,7,7/1/2020,7/31/2020,Q3
7001,  Interest Income,Actual,2020,Jul,2640,7,7/1/2020,7/31/2020,Q3
7002,  Interest Expense,Actual,2020,Jul,-3613.08,7,7/1/2020,7/31/2020,Q3
4001,  Core,Actual,2020,Aug,1775536.85,8,8/1/2020,8/31/2020,Q3
4002,  Pro,Actual,2020,Aug,1299670.63,8,8/1/2020,8/31/2020,Q3
4010,  Services,Actual,2020,Aug,777895.19,8,8/1/2020,8/31/2020,Q3
5001,  Materials,Actual,2020,Aug,-992925.4,8,8/1/2020,8/31/2020,Q3
5002,  Direct Labor,Actual,2020,Aug,-453999.26,8,8/1/2020,8/31/2020,Q3
5003,  Freight & Logistics,Actual,2020,Aug,-163817.65,8,8/1/2020,8/31/2020,Q3
6001,  Salaries & Wages,Actual,2020,Aug,-828490.42,8,8/1/2020,8/31/2020,Q3
6002,  Payroll Taxes,Actual,2020,Aug,-115988.66,8,8/1/2020,8/31/2020,Q3
6003,  Rent,Actual,2020,Aug,-54262.3,8,8/1/2020,8/31/2020,Q3
6004,  Marketing,Actual,2020,Aug,-204619.58,8,8/1/2020,8/31/2020,Q3
6005,  Software & Subscriptions,Actual,2020,Aug,-25947.87,8,8/1/2020,8/31/2020,Q3
6006,  Travel,Actual,2020,Aug,-32178.46,8,8/1/2020,8/31/2020,Q3
7001,  Interest Income,Actual,2020,Aug,3323.16,8,8/1/2020,8/31/2020,Q3
7002,  Interest Expense,Actual,2020,Aug,-3720.4,8,8/1/2020,8/31/2020,Q3
4001,  Core,Actual,2020,Sep,1654749.19,9,9/1/2020,9/30/2020,Q3
4002,  Pro,Actual,2020,Sep,1319008.2,9,9/1/2020,9/30/2020,Q3
4010,  Services,Actual,2020,Sep,720058.2,9,9/1/2020,9/30/2020,Q3
5001,  Materials,Actual,2020,Sep,-962587.16,9,9/1/2020,9/30/2020,Q3
5002,  Direct Labor,Actual,2020,Sep,-437253.86,9,9/1/2020,9/30/2020,Q3
5003,  Freight & Logistics,Actual,2020,Sep,-155255.18,9,9/1/2020,9/30/2020,Q3
6001,  Salaries & Wages,Actual,2020,Sep,-823439.7,9,9/1/2020,9/30/2020,Q3
6002,  Payroll Taxes,Actual,2020,Sep,-115281.55,9,9/1/2020,9/30/2020,Q3
6003,  Rent,Actual,2020,Sep,-54632.76,9,9/1/2020,9/30/2020,Q3
6004,  Marketing,Actual,2020,Sep,-213656.95,9,9/1/2020,9/30/2020,Q3
6005,  Software & Subscriptions,Actual,2020,Sep,-26654.71,9,9/1/2020,9/30/2020,Q3
6006,  Travel,Actual,2020,Sep,-41747.71,9,9/1/2020,9/30/2020,Q3
7001,  Interest Income,Actual,2020,Sep,2688.76,9,9/1/2020,9/30/2020,Q3
7002,  Interest Expense,Actual,2020,Sep,,9,9/1/2020,9/30/2020,Q3
4001,  Core,Actual,2020,Oct,1760545.6,10,10/1/2020,10/31/2020,Q4
4002,  Pro,Actual,2020,Oct,1339415.44,10,10/1/2020,10/31/2020,Q4
4010,  Services,Actual,2020,Oct,742690.11,10,10/1/2020,10/31/2020,Q4
5001,  Materials,Actual,2020,Oct,-999024.65,10,10/1/2020,10/31/2020,Q4
5002,  Direct Labor,Actual,2020,Oct,-452585.65,10,10/1/2020,10/31/2020,Q4
5003,  Freight & Logistics,Actual,2020,Oct,-164367.96,10,10/1/2020,10/31/2020,Q4
6001,  Salaries & Wages,Actual,2020,Oct,-823400.74,10,10/1/2020,10/31/2020,Q4
6002,  Payroll Taxes,Actual,2020,Oct,-115276.1,10,10/1/2020,10/31/2020,Q4
6003,  Rent,Actual,2020,Oct,-53986,10,10/1/2020,10/31/2020,Q4
6004,  Marketing,Actual,2020,Oct,,10,10/1/2020,10/31/2020,Q4
6005,  Software & Subscriptions,Actual,2020,Oct,-26611.5,10,10/1/2020,10/31/2020,Q4
6006,  Travel,Actual,2020,Oct,-36605.65,10,10/1/2020,10/31/2020,Q4
7001,  Interest Income,Actual,2020,Oct,2584,10,10/1/2020,10/31/2020,Q4
7002,  Interest Expense,Actual,2020,Oct,-4419.83,10,10/1/2020,10/31/2020,Q4
4001,  Core,Actual,2020,Nov,1805132.29,11,11/1/2020,11/30/2020,Q4
4002,  Pro,Actual,2020,Nov,1408171,11,11/1/2020,11/30/2020,Q4
4010,  Services,Actual,2020,Nov,,11,11/1/2020,11/30/2020,Q4
5001,  Materials,Actual,2020,Nov,-1038497.77,11,11/1/2020,11/30/2020,Q4
5002,  Direct Labor,Actual,2020,Nov,-477374.89,11,11/1/2020,11/30/2020,Q4
5003,  Freight & Logistics,Actual,2020,Nov,-174450.73,11,11/1/2020,11/30/2020,Q4
6001,  Salaries & Wages,Actual,2020,Nov,-824081.99,11,11/1/2020,11/30/2020,Q4
6002,  Payroll Taxes,Actual,2020,Nov,-115371.49,11,11/1/2020,11/30/2020,Q4
6003,  Rent,Actual,2020,Nov,-54205.66,11,11/1/2020,11/30/2020,Q4
6004,  Marketing,Actual,2020,Nov,-227455,11,11/1/2020,11/30/2020,Q4
6005,  Software & Subscriptions,Actual,2020,Nov,-26207.8,11,11/1/2020,11/30/2020,Q4
6006,  Travel,Actual,2020,Nov,-41749.63,11,11/1/2020,11/30/2020,Q4
7001,  Interest Income,Actual,2020,Nov,2488.81,11,11/1/2020,11/30/2020,Q4
7002,  Interest Expense,Actual,2020,Nov,,11,11/1/2020,11/30/2020,Q4
4001,  Core,Actual,2020,Dec,1823158.77,12,12/1/2020,12/31/2020,Q4
4002,  Pro,Actual,2020,Dec,1441350.01,12,12/1/2020,12/31/2020,Q4
4010,  Services,Actual,2020,Dec,802814.04,12,12/1/2020,12/31/2020,Q4
5001,  Materials,Actual,2020,Dec,-1084208.28,12,12/1/2020,12/31/2020,Q4
5002,  Direct Labor,Actual,2020,Dec,-481115.17,12,12/1/2020,12/31/2020,Q4
5003,  Freight & Logistics,Actual,2020,Dec,-173772.18,12,12/1/2020,12/31/2020,Q4
6001,  Salaries & Wages,Actual,2020,Dec,-827544.93,12,12/1/2020,12/31/2020,Q4
6002,  Payroll Taxes,Actual,2020,Dec,,12,12/1/2020,12/31/2020,Q4
6003,  Rent,Actual,2020,Dec,-54150,12,12/1/2020,12/31/2020,Q4
6004,  Marketing,Actual,2020,Dec,-228193.26,12,12/1/2020,12/31/2020,Q4
6005,  Software & Subscriptions,Actual,2020,Dec,-25901.82,12,12/1/2020,12/31/2020,Q4
6006,  Travel,Actual,2020,Dec,-38300.94,12,12/1/2020,12/31/2020,Q4
7001,  Interest Income,Actual,2020,Dec,2776.02,12,12/1/2020,12/31/2020,Q4
7002,  Interest Expense,Actual,2020,Dec,-3743.76,12,12/1/2020,12/31/2020,Q4
4001,  Core,Budget,2020,Jan,1694282.99,1,1/1/2020,1/31/2020,Q1
4002,  Pro,Budget,2020,Jan,1305145,1,1/1/2020,1/31/2020,Q1
4010,  Services,Budget,2020,Jan,,1,1/1/2020,1/31/2020,Q1
5001,  Materials,Budget,2020,Jan,-986636.11,1,1/1/2020,1/31/2020,Q1
5002,  Direct Labor,Budget,2020,Jan,-443999.57,1,1/1/2020,1/31/2020,Q1
5003,  Freight & Logistics,Budget,2020,Jan,-157629.05,1,1/1/2020,1/31/2020,Q1
6001,  Salaries & Wages,Budget,2020,Jan,-820106.38,1,1/1/2020,1/31/2020,Q1
6002,  Payroll Taxes,Budget,2020,Jan,-114814.9,1,1/1/2020,1/31/2020,Q1
6003,  Rent,Budget,2020,Jan,-53915.62,1,1/1/2020,1/31/2020,Q1
6004,  Marketing,Budget,2020,Jan,-266424.53,1,1/1/2020,1/31/2020,Q1
6005,  Software & Subscriptions,Budget,2020,Jan,-26521.66,1,1/1/2020,1/31/2020,Q1
6006,  Travel,Budget,2020,Jan,-74798.42,1,1/1/2020,1/31/2020,Q1
7001,  Interest Income,Budget,2020,Jan,3492,1,1/1/2020,1/31/2020,Q1
7002,  Interest Expense,Budget,2020,Jan,-3535.44,1,1/1/2020,1/31/2020,Q1
4001,  Core,Budget,2020,Feb,1778017.72,2,2/1/2020,2/29/2020,Q1
4002,  Pro,Budget,2020,Feb,1416389,2,2/1/2020,2/29/2020,Q1
4010,  Services,Budget,2020,Feb,,2,2/1/2020,2/29/2020,Q1
5001,  Materials,Budget,2020,Feb,-1038694.75,2,2/1/2020,2/29/2020,Q1
5002,  Direct Labor,Budget,2020,Feb,-467717.04,2,2/1/2020,2/29/2020,Q1
5003,  Freight & Logistics,Budget,2020,Feb,-169144.04,2,2/1/2020,2/29/2020,Q1
6001,  Salaries & Wages,Budget,2020,Feb,-842584.79,2,2/1/2020,2/29/2020,Q1
6002,  Payroll Taxes,Budget,2020,Feb,-117961.88,2,2/1/2020,2/29/2020,Q1
6003,  Rent,Budget,2020,Feb,-53818.12,2,2/1/2020,2/29/2020,Q1
6004,  Marketing,Budget,2020,Feb,-295969.68,2,2/1/2020,2/29/2020,Q1
6005,  Software & Subscriptions,Budget,2020,Feb,-26358.17,2,2/1/2020,2/29/2020,Q1
6006,  Travel,Budget,2020,Feb,-77597.99,2,2/1/2020,2/29/2020,Q1
7001,  Interest Income,Budget,2020,Feb,3393.38,2,2/1/2020,2/29/2020,Q1
7002,  Interest Expense,Budget,2020,Feb,-3853.53,2,2/1/2020,2/29/2020,Q1
4001,  Core,Budget,2020,Mar,1968219.96,3,3/1/2020,3/31/2020,Q1
4002,  Pro,Budget,2020,Mar,1462680.29,3,3/1/2020,3/31/2020,Q1
4010,  Services,Budget,2020,Mar,917426.34,3,3/1/2020,3/31/2020,Q1
5001,  Materials,Budget,2020,Mar,-1133444.2,3,3/1/2020,3/31/2020,Q1
5002,  Direct Labor,Budget,2020,Mar,-511781.41,3,3/1/2020,3/31/2020,Q1
5003,  Freight & Logistics,Budget,2020,Mar,-181721,3,3/1/2020,3/31/2020,Q1
6001,  Salaries & Wages,Budget,2020,Mar,-841760.19,3,3/1/2020,3/31/2020,Q1
6002,  Payroll Taxes,Budget,2020,Mar,-117846.42,3,3/1/2020,3/31/2020,Q1
6003,  Rent,Budget,2020,Mar,-53914.37,3,3/1/2020,3/31/2020,Q1
6004,  Marketing,Budget,2020,Mar,-314059.95,3,3/1/2020,3/31/2020,Q1
6005,  Software & Subscriptions,Budget,2020,Mar,-26191.07,3,3/1/2020,3/31/2020,Q1
6006,  Travel,Budget,2020,Mar,-87129.68,3,3/1/2020,3/31/2020,Q1
7001,  Interest Income,Budget,2020,Mar,3125.01,3,3/1/2020,3/31/2020,Q1
7002,  Interest Expense,Budget,2020,Mar,-3669.55,3,3/1/2020,3/31/2020,Q1
4001,  Core,Budget,2020,Apr,1176111.62,4,4/1/2020,4/30/2020,Q2
4002,  Pro,Budget,2020,Apr,898270,4,4/1/2020,4/30/2020,Q2
4010,  Services,Budget,2020,Apr,521940.28,4,4/1/2020,4/30/2020,Q2
5001,  Materials,Budget,2020,Apr,-677402.74,4,4/1/2020,4/30/2020,Q2
5002,  Direct Labor,Budget,2020,Apr,-306216.07,4,4/1/2020,4/30/2020,Q2
5003,  Freight & Logistics,Budget,2020,Apr,-107578.4,4,4/1/2020,4/30/2020,Q2
6001,  Salaries & Wages,Budget,2020,Apr,-847341.5,4,4/1/2020,4/30/2020,Q2
6002,  Payroll Taxes,Budget,2020,Apr,-118627.82,4,4/1/2020,4/30/2020,Q2
6003,  Rent,Budget,2020,Apr,-53904.89,4,4/1/2020,4/30/2020,Q2
6004,  Marketing,Budget,2020,Apr,-187897.91,4,4/1/2020,4/30/2020,Q2
6005,  Software & Subscriptions,Budget,2020,Apr,-26530.92,4,4/1/2020,4/30/2020,Q2
6006,  Travel,Budget,2020,Apr,-50784.32,4,4/1/2020,4/30/2020,Q2
7001,  Interest Income,Budget,2020,Apr,3234,4,4/1/2020,4/30/2020,Q2
7002,  Interest Expense,Budget,2020,Apr,-4024.55,4,4/1/2020,4/30/2020,Q2
4001,  Core,Budget,2020,May,,5,5/1/2020,5/31/2020,Q2
4002,  Pro,Budget,2020,May,879336.78,5,5/1/2020,5/31/2020,Q2
4010,  Services,Budget,2020,May,516319.16,5,5/1/2020,5/31/2020,Q2
5001,  Materials,Budget,2020,May,-676215,5,5/1/2020,5/31/2020,Q2
5002,  Direct Labor,Budget,2020,May,-304002.14,5,5/1/2020,5/31/2020,Q2
5003,  Freight & Logistics,Budget,2020,May,-108649,5,5/1/2020,5/31/2020,Q2
6001,  Salaries & Wages,Budget,2020,May,-829207,5,5/1/2020,5/31/2020,Q2
6002,  Payroll Taxes,Budget,2020,May,-116088.93,5,5/1/2020,5/31/2020,Q2
6003,  Rent,Budget,2020,May,-54049.74,5,5/1/2020,5/31/2020,Q2
6004,  Marketing,Budget,2020,May,-192343.9,5,5/1/2020,5/31/2020,Q2
6005,  Software & Subscriptions,Budget,2020,May,-26748.31,5,5/1/2020,5/31/2020,Q2
6006,  Travel,Budget,2020,May,-52811.38,5,5/1/2020,5/31/2020,Q2
7001,  Interest Income,Budget,2020,May,3246.02,5,5/1/2020,5/31/2020,Q2
7002,  Interest Expense,Budget,2020,May,,5,5/1/2020,5/31/2020,Q2
4001,  Core,Budget,2020,Jun,1165712,6,6/1/2020,6/30/2020,Q2
4002,  Pro,Budget,2020,Jun,965678.22,6,6/1/2020,6/30/2020,Q2
4010,  Services,Budget,2020,Jun,526373.44,6,6/1/2020,6/30/2020,Q2
5001,  Materials,Budget,2020,Jun,-695412.16,6,6/1/2020,6/30/2020,Q2
5002,  Direct Labor,Budget,2020,Jun,-315231.91,6,6/1/2020,6/30/2020,Q2
5003,  Freight & Logistics,Budget,2020,Jun,-113225.27,6,6/1/2020,6/30/2020,Q2
6001,  Salaries & Wages,Budget,2020,Jun,-849451.31,6,6/1/2020,6/30/2020,Q2
6002,  Payroll Taxes,Budget,2020,Jun,-118923.19,6,6/1/2020,6/30/2020,Q2
6003,  Rent,Budget,2020,Jun,-54146,6,6/1/2020,6/30/2020,Q2
6004,  Marketing,Budget,2020,Jun,-193881.95,6,6/1/2020,6/30/2020,Q2
6005,  Software & Subscriptions,Budget,2020,Jun,-26454.67,6,6/1/2020,6/30/2020,Q2
6006,  Travel,Budget,2020,Jun,-53622.61,6,6/1/2020,6/30/2020,Q2
7001,  Interest Income,Budget,2020,Jun,3098.65,6,6/1/2020,6/30/2020,Q2
7002,  Interest Expense,Budget,2020,Jun,,6,6/1/2020,6/30/2020,Q2
4001,  Core,Budget,2020,Jul,1919608.44,7,7/1/2020,7/31/2020,Q3
4002,  Pro,Budget,2020,Jul,1536967.59,7,7/1/2020,7/31/2020,Q3
4010,  Services,Budget,2020,Jul,893605.11,7,7/1/2020,7/31/2020,Q3
5001,  Materials,Budget,2020,Jul,-1136087.56,7,7/1/2020,7/31/2020,Q3
5002,  Direct Labor,Budget,2020,Jul,-515109.07,7,7/1/2020,7/31/2020,Q3
5003,  Freight & Logistics,Budget,2020,Jul,-183455.7,7,7/1/2020,7/31/2020,Q3
6001,  Salaries & Wages,Budget,2020,Jul,-829950,7,7/1/2020,7/31/2020,Q3
6002,  Payroll Taxes,Budget,2020,Jul,-116193.02,7,7/1/2020,7/31/2020,Q3
6003,  Rent,Budget,2020,Jul,-53716,7,7/1/2020,7/31/2020,Q3
6004,  Marketing,Budget,2020,Jul,-325227.25,7,7/1/2020,7/31/2020,Q3
6005,  Software & Subscriptions,Budget,2020,Jul,-26471.36,7,7/1/2020,7/31/2020,Q3
6006,  Travel,Budget,2020,Jul,-89525.12,7,7/1/2020,7/31/2020,Q3
7001,  Interest Income,Budget,2020,Jul,3092.68,7,7/1/2020,7/31/2020,Q3
7002,  Interest Expense,Budget,2020,Jul,-3674.82,7,7/1/2020,7/31/2020,Q3
4001,  Core,Budget,2020,Aug,1966118.42,8,8/1/2020,8/31/2020,Q3
4002,  Pro,Budget,2020,Aug,1433897.75,8,8/1/2020,8/31/2020,Q3
4010,  Services,Budget,2020,Aug,860788.73,8,8/1/2020,8/31/2020,Q3
5001,  Materials,Budget,2020,Aug,-1115630,8,8/1/2020,8/31/2020,Q3
5002,  Direct Labor,Budget,2020,Aug,-503571.73,8,8/1/2020,8/31/2020,Q3
5003,  Freight & Logistics,Budget,2020,Aug,-179807.21,8,8/1/2020,8/31/2020,Q3
6001,  Salaries & Wages,Budget,2020,Aug,-850733.97,8,8/1/2020,8/31/2020,Q3
6002,  Payroll Taxes,Budget,2020,Aug,-119102.75,8,8/1/2020,8/31/2020,Q3
6003,  Rent,Budget,2020,Aug,-54411.21,8,8/1/2020,8/31/2020,Q3
6004,  Marketing,Budget,2020,Aug,-308145.47,8,8/1/2020,8/31/2020,Q3
6005,  Software & Subscriptions,Budget,2020,Aug,-26527,8,8/1/2020,8/31/2020,Q3
6006,  Travel,Budget,2020,Aug,-85165.5,8,8/1/2020,8/31/2020,Q3
7001,  Interest Income,Budget,2020,Aug,2795.85,8,8/1/2020,8/31/2020,Q3
7002,  Interest Expense,Budget,2020,Aug,-3481.45,8,8/1/2020,8/31/2020,Q3
4001,  Core,Budget,2020,Sep,1813649.8,9,9/1/2020,9/30/2020,Q3
4002,  Pro,Budget,2020,Sep,1445032.9,9,9/1/2020,9/30/2020,Q3
4010,  Services,Budget,2020,Sep,792701.54,9,9/1/2020,9/30/2020,Q3
5001,  Materials,Budget,2020,Sep,-1058297,9,9/1/2020,9/30/2020,Q3
5002,  Direct Labor,Budget,2020,Sep,-479804.26,9,9/1/2020,9/30/2020,Q3
5003,  Freight & Logistics,Budget,2020,Sep,-171258.17,9,9/1/2020,9/30/2020,Q3
6001,  Salaries & Wages,Budget,2020,Sep,-841467.09,9,9/1/2020,9/30/2020,Q3
6002,  Payroll Taxes,Budget,2020,Sep,-117805.38,9,9/1/2020,9/30/2020,Q3
6003,  Rent,Budget,2020,Sep,-53835.85,9,9/1/2020,9/30/2020,Q3
6004,  Marketing,Budget,2020,Sep,-289978.23,9,9/1/2020,9/30/2020,Q3
6005,  Software & Subscriptions,Budget,2020,Sep,-26388.64,9,9/1/2020,9/30/2020,Q3
6006,  Travel,Budget,2020,Sep,-80507,9,9/1/2020,9/30/2020,Q3
7001,  Interest Income,Budget,2020,Sep,2899.97,9,9/1/2020,9/30/2020,Q3
7002,  Interest Expense,Budget,2020,Sep,-3588.65,9,9/1/2020,9/30/2020,Q3
4001,  Core,Budget,2020,Oct,1938712.38,10,10/1/2020,10/31/2020,Q4
4002,  Pro,Budget,2020,Oct,1510398.36,10,10/1/2020,10/31/2020,Q4
4010,  Services,Budget,2020,Oct,826245.47,10,10/1/2020,10/31/2020,Q4
5001,  Materials,Budget,2020,Oct,-1129340,10,10/1/2020,10/31/2020,Q4
5002,  Direct Labor,Budget,2020,Oct,-505827.97,10,10/1/2020,10/31/2020,Q4
5003,  Freight & Logistics,Budget,2020,Oct,-181129.64,10,10/1/2020,10/31/2020,Q4
